Survey Day,Cumulative Detection Probability
1,0.042883753
2,0.08392849
3,0.123213075
4,0.160812989
5,0.196800478
6,0.231244688
7,0.264211801
8,0.295765161
9,0.325965394
10,0.354870528
11,0.382536101
12,0.40901527
13,0.434358914
14,0.458615727
15,0.481832316
16,0.504053291
17,0.525321348
18,0.54567735
19,0.56516041
20,0.583807964
21,0.601655841
22,0.618738333
23,0.635088265
24,0.650737049
25,0.665714756
26,0.680050162
27,0.693770812
28,0.706903069
29,0.719472165
30,0.731502252
31,0.743016443
32,0.754036862
33,0.764584685
34,0.774680177
35,0.784342737
36,0.79359093
37,0.802442525
38,0.810914531
39,0.819023226
40,0.826784189
41,0.834212333
42,0.841321931
43,0.848126642
44,0.854639542
45,0.860873144
46,0.866839425
47,0.872549851
48,0.878015391
49,0.883246549
50,0.888253375
51,0.89304549
52,0.897632101
53,0.902022021
54,0.906223684
55,0.910245165
56,0.914094189
57,0.917778152
58,0.921304134
59,0.924678908
60,0.927908959
61,0.931000493
62,0.933959451
63,0.936791518
64,0.939502135
65,0.94209651
66,0.944579629
67,0.946956263
68,0.949230977
69,0.951408144
70,0.953491945
71,0.955486385
72,0.957395296
73,0.959222345
74,0.960971044
75,0.962644752
76,0.964246686
77,0.965779922
78,0.967247407
79,0.968651961
80,0.969996283
81,0.971282955
82,0.97251445
83,0.973693133
84,0.97482127
85,0.975901029
86,0.976934483
87,0.977923619
88,0.978870337
89,0.979776456
90,0.980643718
91,0.981473788
92,0.982268261
93,0.983028665
94,0.983756459
95,0.984453043
96,0.985119755
97,0.985757876
98,0.986368632
99,0.986953196
100,0.987512692
101,0.988048195
102,0.988560733
103,0.989051292
104,0.989520813
105,0.9899702
106,0.990400316
107,0.990811986
108,0.991206003
109,0.991583122
110,0.99194407
111,0.992289538
112,0.992620192
113,0.992936665
114,0.993239568
115,0.99352948
116,0.993806961
117,0.994072541
118,0.994326733
119,0.994570024
120,0.994802882
121,0.995025754
122,0.995239068
123,0.995443235
124,0.995638646
125,0.995825677
126,0.996004688
127,0.996176022
128,0.996340008
129,0.996496962
130,0.996647186
131,0.996790967
132,0.996928583
133,0.997060296
134,0.997186362
135,0.997307021
136,0.997422506
137,0.997533039
138,0.997638831
139,0.997740087
140,0.997837001
141,0.997929758
142,0.998018538
143,0.998103511
144,0.998184839
145,0.99826268
146,0.998337183
147,0.998408491
148,0.998476741
149,0.998542064
150,0.998604585
151,0.998664426
152,0.998721701
153,0.998776519
154,0.998828986
155,0.998879204
156,0.998927268
157,0.99897327
158,0.9990173
159,0.999059442
160,0.999099777
161,0.999138382
162,0.999175331
163,0.999210696
164,0.999244545
165,0.999276941
166,0.999307949
167,0.999337627
168,0.999366032
169,0.999393219
170,0.99941924
171,0.999444145
172,0.999467982
173,0.999490797
174,0.999512633
175,0.999533534
176,0.999553537
177,0.999572683
178,0.999591008
179,0.999608547
180,0.999625334
181,0.999641401
